1558 - 01,02,04,05,06,09,11,14,15,16,17,18,21,22,25
1557 - 02,03,04,05,06,09,12,16,17,18,20,21,22,24,25
1556 - 01,02,03,05,06,08,12,15,16,17,19,21,22,23,25
1555 - 01,02,06,08,09,10,12,13,14,16,18,20,22,23,25
1554 - 01,03,04,05,07,08,09,10,13,14,16,18,19,24,25
1553 - 01,02,04,08,09,11,12,13,15,17,18,19,21,22,25
1552 - 02,03,07,08,09,12,14,15,16,19,20,21,22,24,25
1551 - 01,03,05,07,08,11,13,14,15,17,19,20,22,23,25
1550 - 03,04,05,07,08,13,14,15,16,17,20,22,23,24,25
1549 - 01,02,03,04,05,07,08,10,11,13,18,20,23,24,25
1548 - 02,03,04,09,10,11,12,14,15,17,18,20,21,22,23
1547 - 01,02,05,06,08,09,10,11,13,15,17,18,19,21,25
1546 - 01,03,06,07,08,10,11,14,15,18,19,20,22,24,25
1545 - 03,05,07,08,10,11,12,15,16,17,20,22,23,24,25
1544 - 01,02,04,07,08,09,11,12,14,16,17,21,22,23,24
1543 - 01,02,06,07,08,09,12,13,15,17,19,20,23,24,25
1542 - 02,03,05,07,08,10,11,13,15,16,17,20,21,22,24
1541 - 02,03,04,05,07,11,13,14,15,18,19,20,21,22,25
1540 - 01,02,03,07,09,10,11,12,14,15,16,17,19,22,23
1539 - 01,03,04,08,11,12,13,14,16,17,18,19,20,21,25
1538 - 02,04,05,07,08,09,10,13,14,15,17,18,19,21,23
1537 - 01,02,03,04,10,11,13,14,15,17,18,20,21,22,24
1536 - 01,03,05,06,07,08,09,10,11,12,13,19,20,23,25
1535 - 03,04,05,07,08,12,13,15,17,18,21,22,23,24,25
1534 - 01,04,05,08,09,10,11,12,13,14,16,17,19,21,24
1533 - 01,03,04,06,07,11,12,13,14,15,16,19,20,21,24
1532 - 01,02,03,08,09,10,11,12,13,14,17,18,20,22,25
1531 - 01,02,03,04,07,08,10,11,13,14,15,19,22,23,24
1530 - 02,04,05,07,09,10,12,14,15,16,18,20,22,23,24
1529 - 02,03,04,05,08,11,13,14,16,17,18,19,20,21,24
1528 - 01,02,04,05,06,08,09,10,17,18,20,21,23,24,25
1527 - 01,02,03,05,06,07,09,10,14,15,20,21,22,24,25
1526 - 05,07,08,09,10,11,13,15,17,18,20,21,22,23,25
1525 - 01,02,04,05,08,10,12,14,15,18,19,20,21,22,25
1524 - 01,03,05,06,07,08,09,10,13,14,20,22,23,24,25
1523 - 03,05,06,07,09,10,12,13,14,16,18,19,21,23,25
1522 - 01,08,09,10,11,13,14,15,16,18,19,20,21,23,24
1521 - 01,02,03,04,05,07,08,12,14,15,17,19,20,23,24
1520 - 01,02,04,08,09,10,12,13,14,16,17,18,19,24,25
1519 - 01,04,06,08,13,14,16,17,18,20,21,22,23,24,25
1518 - 02,03,04,05,07,08,11,12,14,16,17,20,22,24,25
1517 - 02,03,05,08,10,11,12,14,15,18,20,21,23,24,25
1516 - 01,02,06,07,10,11,12,14,16,18,19,20,22,23,24
1515 - 01,02,03,05,08,09,11,12,13,16,17,18,19,20,23
1514 - 03,04,05,07,08,11,12,13,15,16,17,19,20,21,24
1513 - 03,04,06,07,09,10,11,12,13,14,16,18,21,22,24
1512 - 02,03,04,06,10,11,12,13,15,16,17,19,21,22,24
1511 - 02,04,05,08,09,10,11,12,13,15,19,20,21,23,24
1510 - 01,03,04,07,08,09,10,11,12,13,15,18,19,22,24
1509 - 01,02,03,06,07,08,09,13,14,15,17,18,19,22,24
1508 - 01,03,07,08,09,10,11,12,14,17,19,21,22,23,24
1507 - 01,02,03,04,05,08,10,11,13,14,17,19,21,23,24
1506 - 03,04,05,08,09,10,13,14,17,18,19,20,21,22,24
1505 - 01,02,03,06,07,11,14,16,17,18,19,20,22,24,25
1504 - 01,04,05,07,08,11,12,14,17,18,19,21,23,24,25
1503 - 01,02,03,07,12,15,16,17,18,20,21,22,23,24,25
1502 - 01,02,03,04,05,07,11,12,13,15,17,18,20,22,24
1501 - 01,06,07,08,09,10,11,13,16,17,18,21,22,24,25
1500 - 01,02,03,05,07,10,11,12,13,15,17,18,19,20,22
1499 - 01,02,03,04,05,07,08,12,13,14,15,18,19,23,24
1498 - 04,05,07,08,10,11,14,15,16,17,18,21,23,24,25
1497 - 01,02,05,07,11,12,13,14,15,16,17,18,19,22,23
1496 - 02,03,06,07,09,10,11,12,13,15,17,19,20,23,25
1495 - 01,02,03,04,05,08,10,12,13,14,18,22,23,24,25
1494 - 01,02,03,04,09,10,11,12,13,15,17,19,20,22,25
1493 - 02,05,08,10,11,13,14,15,16,19,20,21,23,24,25
1492 - 02,03,04,05,07,08,10,12,15,16,17,18,19,24,25
1491 - 02,04,05,06,07,09,11,13,14,19,20,22,23,24,25
1490 - 01,03,04,05,07,08,09,11,13,14,15,18,19,20,22
1489 - 02,04,07,08,09,10,12,13,14,15,19,20,22,23,25
1488 - 01,04,05,06,10,11,12,13,16,19,20,21,23,24,25
1487 - 01,02,03,04,05,06,10,11,12,15,16,19,21,22,25
1486 - 02,04,05,08,09,10,12,14,18,19,20,21,22,23,25
1485 - 01,02,03,05,08,09,11,13,15,17,18,19,23,24,25
1484 - 01,02,03,04,06,07,09,10,12,17,18,19,21,22,25
1483 - 03,04,05,06,07,09,11,13,14,15,17,20,21,22,23
1482 - 01,02,04,05,07,08,09,10,11,12,14,15,19,23,24
1481 - 02,03,05,07,08,09,11,17,18,19,20,21,23,24,25
1480 - 01,06,07,10,11,12,13,15,16,17,19,20,21,22,25
1479 - 02,03,05,06,09,11,13,14,15,16,17,18,20,22,23
1478 - 02,05,06,07,10,11,12,15,16,17,18,19,21,24,25
1477 - 01,02,03,04,05,06,07,10,12,15,17,18,21,22,23
1476 - 02,04,05,06,07,09,10,12,13,14,16,19,21,22,25
1475 - 01,02,03,05,06,09,10,12,13,15,18,20,21,24,25
1474 - 01,02,05,07,08,10,11,13,14,15,18,19,20,21,25
1473 - 01,04,05,07,08,09,10,12,14,16,20,22,23,24,25
1472 - 02,03,04,05,07,08,10,12,13,14,18,21,22,23,24
1471 - 01,02,04,06,07,08,10,11,13,15,18,20,21,22,24
1470 - 02,03,07,08,11,12,13,14,15,18,20,21,22,23,24
1469 - 01,02,03,05,06,07,08,09,11,13,16,17,18,19,20
1468 - 02,03,05,06,08,11,12,13,14,18,19,20,21,23,24
1467 - 01,04,05,06,09,10,11,12,19,20,21,22,23,24,25
1466 - 02,03,04,06,10,11,12,14,19,20,21,22,23,24,25
1465 - 02,05,07,08,09,10,12,14,16,19,20,21,22,23,24
1464 - 01,04,09,10,11,12,13,14,15,16,17,18,22,23,24
1463 - 03,04,06,07,10,11,13,14,15,17,19,20,22,23,24
1462 - 01,03,04,05,07,09,12,13,14,16,17,20,21,24,25
1461 - 02,04,05,06,09,10,11,15,17,18,19,21,23,24,25
1460 - 01,03,05,07,11,14,15,16,17,18,19,20,21,24,25
1459 - 01,04,06,09,10,12,13,14,16,17,18,19,20,24,25
1458 - 01,02,03,05,07,09,11,14,17,18,19,20,22,23,24
1457 - 01,02,03,04,07,08,09,10,11,13,14,15,18,23,24
1456 - 01,02,06,07,08,09,12,13,14,15,19,20,21,24,25
1455 - 02,05,07,08,14,15,16,17,18,19,20,21,22,23,25
1454 - 01,03,04,07,10,12,13,14,18,19,20,21,22,23,25
1453 - 01,02,05,08,09,10,13,14,15,16,19,21,23,24,25
1452 - 02,05,07,08,10,11,13,14,15,17,20,21,23,24,25
1451 - 01,02,03,05,10,12,13,14,15,19,20,21,23,24,25
1450 - 01,02,04,05,08,09,10,13,14,16,17,19,20,22,24
1449 - 01,03,04,05,06,07,08,09,11,15,16,20,22,23,24
1448 - 01,03,04,05,06,08,12,13,16,18,19,21,22,23,24
1447 - 01,03,04,05,08,11,12,13,17,18,19,21,22,24,25
1446 - 01,04,06,07,08,12,13,16,17,20,21,22,23,24,25
1445 - 01,04,05,06,08,10,13,15,16,17,18,20,22,23,25
1444 - 01,02,04,05,06,09,10,11,14,15,17,18,20,21,24
1443 - 01,02,03,05,07,08,09,10,11,12,14,15,16,17,24
1442 - 01,02,03,04,07,09,11,12,13,15,16,17,19,20,21
1441 - 01,03,04,05,06,07,09,10,11,13,16,19,22,23,25
1440 - 02,03,08,10,12,13,14,16,17,18,20,21,22,24,25
1439 - 01,02,03,05,11,12,13,14,15,16,17,18,19,22,24
1438 - 01,04,07,08,09,10,11,12,14,15,17,20,21,22,24
1437 - 02,04,05,06,07,08,09,11,13,14,17,19,20,23,25
1436 - 01,02,03,05,06,08,11,12,15,17,18,19,22,23,24
1435 - 01,02,03,04,05,06,09,10,12,16,17,19,20,21,23
1434 - 03,04,05,06,07,09,10,12,13,15,18,19,22,23,24
1433 - 03,06,07,09,10,12,14,15,16,18,20,22,23,24,25
1432 - 01,03,04,05,10,11,12,16,17,18,20,21,23,24,25
1431 - 01,02,07,08,09,10,12,14,15,16,17,19,20,23,25
1430 - 01,03,04,05,07,08,09,13,15,16,20,21,22,23,25
1429 - 05,07,08,09,10,12,13,14,15,16,18,19,20,21,25
1428 - 02,03,04,05,06,08,09,13,17,18,19,20,21,22,25
1427 - 01,02,07,10,11,12,14,15,16,17,18,19,20,22,25
1426 - 02,03,04,07,08,10,12,14,15,16,18,22,23,24,25
1425 - 01,03,04,05,08,09,11,12,13,14,16,19,20,21,25
1424 - 02,04,05,06,08,09,10,11,13,17,18,20,21,23,25
1423 - 01,02,04,05,07,08,11,12,13,14,15,16,19,22,23
1422 - 01,04,05,07,10,11,13,14,15,16,17,19,22,23,24
1421 - 03,05,06,07,08,09,11,12,14,17,18,19,20,23,24
1420 - 01,04,06,07,08,10,13,14,15,16,17,20,22,23,25
1419 - 02,03,06,07,11,12,15,16,17,18,19,20,21,23,24
1418 - 02,04,06,09,10,11,13,14,15,17,18,20,21,22,23
1417 - 01,02,03,04,06,07,09,11,13,14,15,18,19,22,23
1416 - 03,04,05,07,08,09,10,12,14,15,17,18,19,20,24
1415 - 02,04,05,06,10,12,13,15,17,18,19,22,23,24,25
1414 - 02,03,04,05,07,09,10,11,13,14,16,17,20,21,23
1413 - 02,03,04,05,06,07,08,09,10,13,16,17,18,21,25
1412 - 05,06,07,09,11,13,15,16,18,19,21,22,23,24,25
1411 - 01,05,06,07,08,09,10,12,13,14,15,16,17,21,23
1410 - 02,03,04,05,06,07,09,10,14,15,16,17,20,21,23
1409 - 01,02,04,06,07,08,11,12,14,16,17,19,22,24,25
1408 - 01,03,05,08,10,11,12,13,14,19,21,22,23,24,25
1407 - 01,02,04,05,06,07,10,12,13,20,21,22,23,24,25
1406 - 02,03,04,05,06,09,11,13,15,19,20,21,22,24,25
1405 - 02,03,04,07,09,10,11,14,15,16,18,19,20,23,24
1404 - 01,02,03,04,08,10,11,13,15,16,18,19,21,22,25
1403 - 03,04,05,08,09,10,11,12,13,15,16,17,21,23,25
1402 - 02,03,04,05,08,09,11,12,14,15,16,19,20,21,23
1401 - 01,03,04,05,06,07,08,14,15,18,19,21,22,24,25
1400 - 01,02,03,05,06,09,10,12,16,19,21,22,23,24,25
1399 - 04,05,06,08,09,12,13,14,15,17,19,21,22,24,25
1398 - 01,04,05,06,07,08,11,14,15,16,19,20,21,24,25
1397 - 01,03,04,05,06,08,09,11,12,13,14,18,21,22,25
1396 - 03,05,06,07,10,12,13,17,18,19,20,22,23,24,25
1395 - 05,06,07,08,11,12,13,14,16,17,18,19,22,23,25
1394 - 03,04,05,06,09,10,11,14,15,16,18,19,21,22,23
1393 - 03,04,05,07,09,10,11,12,13,14,17,18,20,22,23
1392 - 01,02,03,04,08,09,14,15,16,17,18,20,21,22,25
1391 - 01,03,05,06,10,11,12,15,16,17,19,20,21,24,25
1390 - 03,05,06,07,08,11,13,14,15,16,17,18,20,21,23
1389 - 01,02,04,05,06,08,10,12,14,15,16,17,18,20,21
1388 - 01,03,05,07,08,10,11,12,15,18,19,20,21,23,25
1387 - 01,03,04,05,06,07,09,11,12,13,14,15,16,18,24
1386 - 01,02,03,04,07,09,13,16,17,18,19,21,22,24,25
1385 - 04,05,08,09,10,11,12,13,14,15,17,18,19,20,23
1384 - 03,04,06,08,09,11,12,13,15,18,19,20,22,24,25
1383 - 02,06,07,08,09,13,14,15,16,17,20,21,22,24,25
1382 - 01,06,10,12,13,14,15,16,17,18,19,20,21,22,24
1381 - 01,04,06,08,09,10,12,13,14,16,17,18,19,21,25
1380 - 03,04,05,06,08,11,12,14,15,16,17,21,22,24,25
1379 - 01,02,04,05,07,08,09,10,12,14,15,17,18,21,22
1378 - 01,02,03,06,08,10,12,13,17,19,20,21,23,24,25
1377 - 01,05,06,08,09,10,12,13,15,17,19,20,21,22,25
1376 - 01,03,04,05,06,12,13,14,15,16,18,19,20,22,24
1375 - 01,05,06,09,10,11,14,15,16,18,20,22,23,24,25
1374 - 02,03,04,05,06,09,10,14,15,16,19,20,21,23,25
1373 - 01,02,03,04,05,06,07,08,12,17,18,20,21,23,24
1372 - 01,02,03,05,07,09,10,13,15,16,17,18,21,23,25
1371 - 03,04,05,07,13,15,17,18,19,20,21,22,23,24,25
1370 - 02,04,05,07,08,11,13,14,17,18,20,21,22,24,25
1369 - 03,04,05,09,10,11,12,13,14,16,17,18,21,22,24
1368 - 05,07,08,10,11,12,14,16,18,19,20,22,23,24,25
1367 - 02,03,04,05,06,07,09,14,15,16,17,18,20,23,24
1366 - 04,08,09,10,11,12,13,14,15,16,17,21,22,24,25
1365 - 02,03,06,09,10,12,14,15,19,20,21,22,23,24,25
1364 - 01,06,09,10,11,12,13,15,16,17,18,20,22,24,25
1363 - 05,07,09,10,12,13,14,15,16,17,19,20,21,22,23
1362 - 01,03,04,06,09,10,11,12,13,16,21,22,23,24,25
1361 - 01,04,05,11,12,13,14,15,16,17,18,19,20,23,25
1360 - 01,02,03,04,05,06,08,10,11,12,14,18,20,23,24
1359 - 03,05,07,08,09,11,13,14,15,16,17,18,20,21,23
1358 - 01,02,03,04,06,08,09,13,15,17,18,19,20,22,23
1357 - 03,07,08,09,10,11,12,13,15,17,18,20,21,22,23
1356 - 03,04,06,08,09,10,11,12,13,14,15,16,17,19,20
1355 - 01,02,03,04,06,07,08,11,15,16,18,20,21,22,24
1354 - 01,02,03,05,07,09,11,12,13,14,15,18,20,21,24
1353 - 03,05,07,08,09,10,11,12,14,18,21,22,23,24,25
1352 - 06,08,10,11,12,13,14,15,16,19,20,21,23,24,25
1351 - 02,04,06,07,10,11,13,17,19,20,21,22,23,24,25
1350 - 01,05,06,08,09,11,12,13,14,16,18,19,20,21,23
1349 - 02,03,04,05,06,07,08,12,14,16,18,19,21,24,25
1348 - 01,02,06,07,08,09,10,14,15,18,20,21,22,24,25
1347 - 01,03,05,06,07,08,10,12,13,14,17,18,20,23,24
1346 - 02,03,05,07,08,10,11,14,15,18,19,20,21,23,25
1345 - 01,03,07,08,09,10,11,14,15,17,19,21,22,24,25
1344 - 02,04,06,07,08,10,11,12,13,17,18,21,23,24,25
1343 - 02,04,05,09,10,11,13,14,15,16,17,19,21,23,24
1342 - 01,02,03,05,09,10,11,12,13,15,20,21,23,24,25
1341 - 01,03,04,08,09,10,13,14,15,16,17,20,21,23,24
1340 - 01,02,04,05,07,09,10,12,13,14,16,17,18,19,22
1339 - 02,03,04,05,06,07,08,11,13,14,16,20,21,23,24
1338 - 01,02,03,04,06,07,10,11,12,13,14,15,16,17,19
1337 - 01,03,05,06,08,09,10,12,13,15,16,19,21,23,25
1336 - 06,08,09,10,11,12,13,14,15,17,18,19,20,22,24
1335 - 01,03,04,06,07,09,10,11,13,16,17,18,23,24,25
1334 - 03,04,06,07,09,10,11,13,15,16,17,18,19,21,22
1333 - 03,04,05,07,08,09,10,11,12,14,17,18,20,22,24
1332 - 01,04,05,06,08,11,12,13,14,15,16,18,20,21,24
1331 - 01,02,03,05,06,07,10,11,14,15,16,18,23,24,25
1330 - 04,05,07,10,12,13,16,17,18,19,20,22,23,24,25
1329 - 02,03,04,05,07,10,11,13,15,16,18,22,23,24,25
1328 - 02,05,06,08,09,10,13,15,16,17,21,22,23,24,25
1327 - 01,03,04,05,07,10,13,14,16,17,18,20,22,23,25
1326 - 01,03,04,06,08,09,10,17,18,19,20,21,22,24,25
1325 - 02,03,05,06,07,09,10,14,15,16,18,19,20,21,25
1324 - 01,04,05,06,07,08,10,11,13,17,18,19,21,24,25
1323 - 01,04,05,06,09,10,11,13,14,17,19,20,21,22,23
1322 - 01,02,06,07,08,09,11,13,15,16,17,18,21,24,25
1321 - 02,03,04,06,07,09,10,11,13,14,18,19,20,23,24
1320 - 02,03,04,05,09,11,12,13,15,16,17,21,22,23,25
1319 - 03,05,06,08,09,10,11,13,14,15,17,19,22,23,25
1318 - 01,02,03,04,06,07,08,09,12,13,14,15,17,20,23
1317 - 01,03,05,07,08,09,10,11,14,16,20,22,23,24,25
1316 - 01,02,03,04,05,06,11,12,15,17,19,20,23,24,25
1315 - 01,02,03,04,05,08,10,11,12,14,16,18,19,23,25
1314 - 03,05,08,09,10,11,14,15,16,18,19,21,22,24,25
1313 - 01,04,08,10,11,13,15,16,17,20,21,22,23,24,25
1312 - 01,02,04,05,06,07,09,11,13,18,19,20,23,24,25
1311 - 02,03,05,06,08,10,11,12,14,15,17,18,20,23,25
1310 - 01,02,03,04,05,07,08,10,11,15,17,18,19,21,23
1309 - 02,04,05,06,08,10,12,13,14,16,18,19,20,24,25
1308 - 03,05,06,07,08,09,11,14,16,17,19,20,22,23,25
1307 - 03,04,06,08,09,10,12,13,14,15,16,18,20,21,23
1306 - 01,02,05,06,07,09,12,13,14,15,18,19,20,22,23
1305 - 02,03,04,05,06,07,08,11,12,13,15,17,20,23,25
1304 - 01,02,03,07,08,10,11,13,14,17,18,19,20,21,25
1303 - 01,05,08,09,10,11,13,14,15,16,18,19,20,22,23
1302 - 03,04,06,09,11,12,13,14,15,16,17,18,20,22,25
1301 - 01,02,03,04,06,07,09,10,14,16,17,19,22,24,25
1300 - 02,06,07,09,10,11,12,13,14,15,18,20,23,24,25
1299 - 01,03,05,07,08,11,13,17,18,19,20,21,22,23,25
1298 - 02,03,04,06,07,09,12,17,18,20,21,22,23,24,25
1297 - 01,02,05,06,07,08,09,10,11,12,16,17,18,19,22
1296 - 05,07,09,10,11,14,15,16,17,18,19,20,21,23,25
1295 - 03,06,09,10,11,12,13,14,15,17,18,19,23,24,25
1294 - 02,05,06,07,08,10,11,12,13,14,16,18,20,23,25
1293 - 01,02,07,08,09,10,11,12,13,15,17,18,20,22,24
1292 - 01,02,03,07,08,10,11,14,15,17,19,22,23,24,25
1291 - 01,06,07,08,10,11,12,13,15,16,18,19,20,21,24
1290 - 01,03,04,05,06,11,13,14,16,19,20,21,22,23,25
1289 - 01,02,05,07,08,11,13,15,16,17,18,20,22,24,25
1288 - 01,02,05,09,10,13,15,16,17,18,19,20,23,24,25
1287 - 03,04,05,06,09,11,13,17,18,19,21,22,23,24,25
1286 - 01,03,04,05,07,10,11,12,16,17,19,20,21,23,25
1285 - 01,02,06,07,10,11,12,15,16,17,18,20,22,24,25
1284 - 02,04,05,07,08,10,11,13,16,17,18,20,22,23,25
1283 - 02,06,07,08,09,10,11,12,13,15,16,17,18,22,23
1282 - 05,06,07,09,10,11,12,14,17,19,20,21,22,23,25
1281 - 01,03,05,06,08,09,12,13,15,19,21,22,23,24,25
1280 - 01,03,04,05,07,09,11,14,15,17,19,22,23,24,25
1279 - 01,03,04,07,08,09,11,12,13,14,16,18,19,21,23
1278 - 04,06,07,09,10,12,15,16,17,18,19,20,21,22,24
1277 - 01,02,03,04,06,09,10,12,13,15,17,18,21,22,25
1276 - 01,03,05,07,10,12,14,15,16,18,19,21,22,23,24
1275 - 03,06,07,08,10,11,13,14,15,16,17,18,20,23,25
1274 - 01,03,07,08,10,11,12,13,14,15,18,19,20,22,25
1273 - 01,03,05,06,08,11,12,13,14,15,18,19,20,22,24
1272 - 01,04,07,09,10,14,15,17,18,19,20,21,23,24,25
1271 - 01,02,04,06,08,09,11,12,13,14,17,18,23,24,25
1270 - 01,02,03,04,05,06,08,09,10,11,13,20,21,23,25
1269 - 01,04,05,07,08,11,13,14,16,17,18,20,21,22,23
1268 - 01,02,03,06,07,08,11,12,13,15,17,18,21,22,24
1267 - 02,03,05,06,07,09,11,12,13,15,16,17,18,22,25
1266 - 01,02,03,05,06,08,09,10,11,13,14,15,20,23,24
1265 - 01,02,03,04,07,11,13,14,15,16,19,22,23,24,25
1264 - 01,04,05,08,10,11,12,14,17,18,21,22,23,24,25
1263 - 03,04,05,08,09,10,11,12,13,16,18,20,22,23,25
1262 - 01,03,04,06,08,11,12,13,16,17,20,21,22,23,24
1261 - 01,04,05,07,10,12,15,16,17,18,19,20,21,22,25
1260 - 01,02,03,04,05,06,07,11,14,15,17,18,20,22,24
1259 - 02,05,08,09,10,13,14,16,17,18,19,20,22,23,25
1258 - 02,03,04,05,06,08,09,10,12,13,14,20,21,23,25
1257 - 01,02,05,06,08,10,11,12,13,14,16,19,20,22,25
1256 - 01,02,06,08,10,11,12,13,14,15,16,18,19,22,23
1255 - 01,02,04,06,07,09,10,13,14,16,18,20,21,23,25
1254 - 02,03,08,09,11,12,14,15,16,17,18,20,21,22,23
1253 - 01,02,03,05,06,07,11,15,16,18,20,22,23,24,25
1252 - 01,03,04,05,06,08,09,10,11,12,15,20,21,23,24
1251 - 02,06,07,08,09,10,14,15,16,17,19,20,21,23,25
1250 - 02,03,04,05,07,09,10,14,15,17,18,19,20,24,25
1249 - 03,04,05,06,09,12,13,14,15,18,19,20,22,24,25
1248 - 01,03,05,10,11,12,13,15,16,17,19,20,22,24,25
1247 - 02,03,07,08,09,11,15,16,17,18,19,20,23,24,25
1246 - 01,04,07,08,09,10,12,13,16,17,18,19,22,24,25
1245 - 02,03,04,05,06,08,09,11,15,16,17,18,19,21,25
1244 - 01,03,05,07,09,10,11,12,13,16,17,19,21,23,25
1243 - 01,02,04,05,06,08,12,13,14,15,16,17,22,24,25
1242 - 01,02,04,05,07,11,14,15,16,19,20,21,23,24,25
1241 - 01,04,05,08,09,10,11,12,13,15,17,20,22,24,25
1240 - 01,02,03,04,05,06,09,12,13,16,18,19,20,22,24
1239 - 05,06,08,09,10,11,12,13,14,15,16,18,20,22,24
1238 - 02,03,05,07,08,09,11,13,14,15,16,17,18,21,25
1237 - 03,05,06,07,08,09,10,12,13,14,18,21,22,24,25
1236 - 01,02,03,05,06,07,09,10,11,12,13,17,19,23,25
1235 - 01,02,03,04,06,09,10,11,12,13,15,17,18,20,24
1234 - 01,02,05,08,09,10,14,16,17,18,19,20,21,24,25
1233 - 01,04,05,09,10,13,14,15,16,17,18,19,22,23,25
1232 - 02,03,05,06,09,10,13,14,15,16,19,21,23,24,25
1231 - 01,03,04,05,07,08,12,13,15,16,18,20,21,22,25
1230 - 01,02,03,05,06,07,08,10,11,12,13,17,18,19,21
1229 - 01,02,03,05,06,07,08,13,14,17,19,20,22,24,25
1228 - 01,02,03,04,06,07,09,10,12,13,17,20,22,23,24
1227 - 01,02,07,08,09,10,11,12,13,14,17,19,21,22,25
1226 - 01,03,05,07,08,10,11,14,15,17,19,21,22,23,24
1225 - 02,03,05,07,11,13,14,15,17,18,20,21,23,24,25
1224 - 01,02,04,05,06,08,09,11,12,14,15,16,17,18,19
1223 - 02,06,07,08,09,10,13,14,16,17,18,20,21,22,23
1222 - 01,02,03,04,05,08,09,10,11,13,15,17,20,22,24
1221 - 02,03,04,06,09,10,12,14,15,18,19,21,22,23,24
1220 - 02,03,04,05,06,07,09,13,14,17,18,19,20,23,25
1219 - 02,03,04,05,06,08,09,10,14,16,19,20,22,23,25
1218 - 01,02,03,04,05,07,09,10,11,13,14,18,20,21,23
1217 - 01,03,06,07,08,09,10,11,12,13,17,19,20,24,25
1216 - 01,02,03,07,10,12,14,15,17,18,20,21,22,23,24
1215 - 03,07,09,11,12,13,14,15,16,17,18,20,21,22,24
1214 - 01,02,03,04,05,07,08,09,13,14,18,19,20,21,23
1213 - 02,03,05,06,07,08,09,10,14,17,18,20,23,24,25
1212 - 01,02,03,05,06,07,08,09,10,15,16,17,18,20,24
1211 - 01,02,03,05,07,10,11,12,13,15,16,17,20,23,24
1210 - 01,02,04,08,10,11,13,15,16,18,19,20,21,22,25
1209 - 03,04,05,07,08,09,10,11,14,15,16,18,19,20,24
1208 - 01,02,03,04,05,10,11,14,15,18,19,20,22,24,25
1207 - 01,03,04,07,09,10,11,12,13,14,15,18,19,21,24
1206 - 01,03,05,07,10,11,13,14,15,18,21,22,23,24,25
